"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIC.U","Pivotal Investment Corporation II","n/a","0","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/pic.u",
"PIC.WS","Pivotal Investment Corporation II","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pic.ws",
"PJT","PJT Partners Inc.","59.49","2297430924.75","n/a","2015","Finance","Investment Managers","https://old.nasdaq.com/symbol/pjt",
"PAA","Plains All American Pipeline, L.P.","7","5096702786","n/a","1998","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/paa",
"PAGP","Plains Group Holdings, L.P.","7.19","1324830679.82","n/a","2013","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/pagp",
"PLNT","Planet Fitness, Inc.","60.01","5191358582.25","n/a","2015","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/plnt",
"PLT","Plantronics, Inc.","12.39","504813749.16","n/a","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/plt",
"AGS","PlayAGS, Inc.","4.22","150308120.36","n/a","2018","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/ags",
"PHI","PLDT Inc.","28.38","6130080000","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/phi",
"PLYM","Plymouth Industrial REIT, Inc.","13.38","214679865.54","n/a","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/plym",
